x,y,tags
1,1,"감사, 설렘, 슬픔"
1,2,"따듯함, 거리감, 흐릿함"
1,3,"흐릿함, 감사, 연결됨"
1,4,"따듯함, 연결됨, 분노"
1,5,"설렘, 무기력, 연결됨"
1,6,"쓸쓸함, 희망, 용기"
1,7,"격렬, 용기, 평온"
1,8,"익숙함, 행복, 용기"
1,9,"익숙함, 외로움, 침잠"
2,1,"침잠, 평온, 연결됨"
2,2,"쓸쓸함, 거리감, 애틋함"
2,3,"용기, 불안, 슬픔"
2,4,"쓸쓸함, 애틋함, 익숙함"
2,5,"명확함, 연결됨, 슬픔"
2,6,"쓸쓸함, 익숙함, 슬픔"
2,7,"익숙함, 흐릿함, 쓸쓸함"
2,8,"연결됨, 익숙함, 침잠"
2,9,"거리감, 평온, 분노"
3,1,"우울, 평온, 익숙함"
3,2,"고요, 분노, 평온"
3,3,"지침, 애틋함, 슬픔"
3,4,"용기, 애틋함, 우울"
3,5,"감사, 무기력, 평온"
3,6,"따듯함, 용기, 설렘"
3,7,"용기, 쓸쓸함, 외로움"
3,8,"따듯함, 격렬, 감사"
3,9,"흐릿함, 연결됨, 쓸쓸함"
4,1,"애틋함, 격렬, 명확함"
4,2,"연결됨, 낯섦, 무기력"
4,3,"슬픔, 고요, 무기력"
4,4,"익숙함, 희망, 격렬"
4,5,"연결됨, 무기력, 명확함"
4,6,"익숙함, 애틋함, 설렘"
4,7,"따듯함, 설렘, 희망"
4,8,"명확함, 기대, 낯섦"
4,9,"분노, 슬픔, 격렬"
5,1,"명확함, 활기, 평온"
5,2,"평온, 익숙함, 불안"
5,3,"익숙함, 지침, 고요"
5,4,"고요, 행복, 침잠"
5,5,"지침, 두려움, 고요"
5,6,"두려움, 활기, 고요"
5,7,"감사, 애틋함, 희망"
5,8,"분노, 용기, 슬픔"
5,9,"쓸쓸함, 거리감, 흐릿함"
6,1,"분노, 희망, 명확함"
6,2,"우울, 연결됨, 무기력"
6,3,"무기력, 감사, 쓸쓸함"
6,4,"외로움, 무기력, 용기"
6,5,"낯섦, 설렘, 연결됨"
6,6,"불안, 거리감, 연결됨"
6,7,"익숙함, 거리감, 외로움"
6,8,"쓸쓸함, 슬픔, 흐릿함"
6,9,"활기, 감사, 흐릿함"
7,1,"분노, 명확함, 행복"
7,2,"명확함, 낯섦, 애틋함"
7,3,"지침, 거리감, 침잠"
7,4,"평온, 설렘, 따듯함"
7,5,"슬픔, 흐릿함, 무기력"
7,6,"평온, 격렬, 희망"
7,7,"애틋함, 활기, 침잠"
7,8,"연결됨, 애틋함, 용기"
7,9,"불안, 두려움, 용기"
8,1,"익숙함, 무기력, 분노"
8,2,"행복, 거리감, 침잠"
8,3,"연결됨, 용기, 거리감"
8,4,"용기, 흐릿함, 설렘"
8,5,"쓸쓸함, 분노, 불안"
8,6,"따듯함, 격렬, 행복"
8,7,"평온, 쓸쓸함, 거리감"
8,8,"희망, 분노, 쓸쓸함"
8,9,"불안, 거리감, 따듯함"
9,1,"따듯함, 침잠, 지침"
9,2,"행복, 무기력, 흐릿함"
9,3,"우울, 침잠, 감사"
9,4,"지침, 활기, 희망"
9,5,"거리감, 활기, 무기력"
9,6,"평온, 용기, 무기력"
9,7,"불안, 흐릿함, 연결됨"
9,8,"우울, 거리감, 불안"
9,9,"고요, 희망, 행복"
