id,persona_id,x,y,tags,story
1,1,1,1,#차분함 #예민함 #엉뚱함 #감성적,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
2,2,1,2,#혼자생각많음 #신중함 #상처받기쉬운 #창의적인,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
3,3,1,3,#이성적 #내향적 #상처받기쉬운 #사랑많은,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
4,4,1,4,#신중함 #열정적인 #외로움을잘느낌 #낭만주의자,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
5,5,1,5,#고독을즐김 #감성적 #사랑많은 #열정적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
6,6,1,6,#현실주의자 #엉뚱함 #고독을즐김 #외로움을잘느낌,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
7,7,1,7,#내향적 #혼자생각많음 #이성적 #낭만주의자,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
8,8,1,8,#명랑한성격 #무심한듯다정한 #사랑많은 #창의적인,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
9,9,1,9,#명랑한성격 #고독을즐김 #낭만주의자 #신중함,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
10,10,2,1,#창의적인 #외로움을잘느낌 #신중함 #고독을즐김,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
