id,name,age,gender,x,y,tags,style_tone,style_detail,style_ref
1,유저1,20,male,1,1,#차분함 #예민함 #엉뚱함 #감성적,순수함,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",한지민
2,유저2,26,female,1,2,#혼자생각많음 #신중함 #상처받기쉬운 #창의적인,청량함,"짧은 단발머리와 동그란 인상, 부드러운 말투",송강
3,유저3,22,male,1,3,#이성적 #내향적 #상처받기쉬운 #사랑많은,시크함,화려한 액세서리와 당당한 걸음걸이,신세경
4,유저4,21,male,1,4,#신중함 #열정적인 #외로움을잘느낌 #낭만주의자,순수함,"짧은 단발머리와 동그란 인상, 부드러운 말투",설현
5,유저5,25,male,1,5,#고독을즐김 #감성적 #사랑많은 #열정적인,따뜻함,"짧은 단발머리와 동그란 인상, 부드러운 말투",신세경
6,유저6,25,male,1,6,#현실주의자 #엉뚱함 #고독을즐김 #외로움을잘느낌,도회적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",박보영
7,유저7,27,female,1,7,#내향적 #혼자생각많음 #이성적 #낭만주의자,개성적,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",박서준
8,유저8,27,male,1,8,#명랑한성격 #무심한듯다정한 #사랑많은 #창의적인,순수함,화려한 액세서리와 당당한 걸음걸이,장기용
9,유저9,34,female,1,9,#명랑한성격 #고독을즐김 #낭만주의자 #신중함,도회적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",공유
10,유저10,33,male,2,1,#창의적인 #외로움을잘느낌 #신중함 #고독을즐김,따뜻함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",류준열
11,유저11,33,male,2,2,#엉뚱함 #외로움을잘느낌 #차분함 #고독을즐김,중성적,"섬세하고 반듯한 눈매, 부드러운 음성",아이유
12,유저12,28,male,2,3,#명랑한성격 #현실주의자 #차분함 #창의적인,따뜻함,화려한 액세서리와 당당한 걸음걸이,공유
13,유저13,23,male,2,4,#열정적인 #마이웨이 #감성적 #이성적,도회적,"베이직 셔츠와 청바지를 즐겨입음, 온화한 인상",박보영
14,유저14,31,female,2,5,#고독을즐김 #무심한듯다정한 #예민함 #신중함,청량함,"섬세하고 반듯한 눈매, 부드러운 음성",고윤정
15,유저15,30,male,2,6,#무심한듯다정한 #긍정적인 #현실주의자 #차분함,중성적,"짧은 단발머리와 동그란 인상, 부드러운 말투",공유
16,유저16,30,male,2,7,#창의적인 #신중함 #마이웨이 #긍정적인,트렌디함,화려한 액세서리와 당당한 걸음걸이,금새록
17,유저17,34,female,2,8,#마이웨이 #신중함 #사랑많은 #현실주의자,귀여움,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",아이유
18,유저18,28,female,2,9,#외로움을잘느낌 #무심한듯다정한 #신중함 #혼자생각많음,중성적,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",정해인
19,유저19,29,female,3,1,#이성적 #외로움을잘느낌 #혼자생각많음 #엉뚱함,순수함,화려한 액세서리와 당당한 걸음걸이,설현
20,유저20,20,female,3,2,#혼자생각많음 #사랑많은 #엉뚱함 #예민함,귀여움,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",박보영
21,유저21,28,male,3,3,#사랑많은 #마이웨이 #고독을즐김 #예민함,트렌디함,화려한 액세서리와 당당한 걸음걸이,설현
22,유저22,26,male,3,4,#열정적인 #상처받기쉬운 #마이웨이 #낭만주의자,우아함,"긴 생머리에 맑은 눈동자, 은은한 미소와 말투",수지
