tag,description
감정적,"감정을 솔직하게 표현하고, 느끼는 대로 반응하는 사람"
이성적,감정보다 논리와 사실에 기반해 사고하고 판단하는 성향
공감,"타인의 감정을 민감하게 인식하고, 함께 느끼는 능력"
표현력,자신의 감정을 말이나 행동으로 자연스럽게 드러내는 태도
내면적,"생각이 깊고, 감정을 스스로 소화하며 표현은 신중한 성향"
외향적,"사람들과 함께할 때 에너지를 얻고, 감정을 쉽게 나누는 성격"
리더십,자연스럽게 이끌거나 책임지는 태도를 지닌 성향
사려 깊음,말과 행동 전에 남을 배려하고 조심스럽게 접근하는 태도
차분함,감정에 휘둘리지 않고 침착하게 상황을 받아들이는 성향
열정,무언가에 몰입하고 강하게 끌리는 에너지
호기심,새로운 것에 대한 관심과 탐색을 멈추지 않는 태도
논리적,일관된 구조와 이유를 통해 사고하고 행동하는 경향
감정 절제,감정을 억제하거나 조절하는 능력이 뛰어난 사람
직관적,설명보다는 느낌과 직감으로 상황을 파악하는 성향
분석적,현상을 세분화하여 원인과 구조를 이해하려는 경향
신중함,결정 전에 깊이 고민하고 여러 경우의 수를 고려하는 태도
침착함,긴장 상황에서도 흔들림 없이 균형을 유지하는 성향
주도성,스스로 방향을 정하고 끌어가는 태도를 지닌 사람
조율자,다른 사람들 사이에서 균형을 맞추고 조화를 이끄는 능력
중재자,갈등 상황에서 양쪽의 입장을 듣고 합의를 이끌어내는 태도
유쾌함,분위기를 부드럽게 만들고 웃음을 전하는 긍정적인 에너지
성찰,자신을 돌아보고 감정이나 생각을 되짚어보는 성향
통찰력,겉으로 드러나지 않은 본질을 꿰뚫어보는 능력
따뜻함,상대에게 안도감을 주고 정서적 지지를 건네는 태도
냉정함,감정에 휘둘리지 않고 현실적으로 상황을 바라보는 성향
직진형,망설임 없이 솔직하게 감정과 행동을 드러내는 사람
에너지,주변을 활기차게 만들 정도로 뚜렷한 감정 에너지를 지님
섬세함,작은 차이도 민감하게 인지하고 정서적으로 반응하는 사람
감정이입,상대의 입장이 되어 감정을 대신 겪는 공감의 깊은 형태
객관적,상황을 개인 감정이 아닌 전체적인 시선에서 바라보는 태도
감성적,감정과 분위기를 중요하게 느끼고 그것에 따라 반응하는 사람
계획적,감정이나 상황을 체계적으로 정리하고 준비하는 성향
현실적,이상보다 지금의 상황과 조건을 우선시하는 성향
유연함,상황에 따라 감정이나 표현 방식을 자유롭게 바꾸는 능력
자기통제,강한 감정에도 흔들리지 않고 자신을 조절할 수 있는 힘
긍정적,상황 속에서도 희망과 밝은 면을 찾아내는 성향
안정감,"감정 기복이 적고, 주변에 안정감을 주는 태도"
부드러움,자극적이지 않게 감정을 표현하고 상대를 편하게 하는 태도
자기표현,자신의 감정과 생각을 감추지 않고 드러낼 수 있는 능력
